"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"_0.nvm"	".nvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"103"	"0"	"c10f32460e0c89c818e8ac16a8849021"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.nvm"
"_1.nvm"	".nvm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"103"	"0"	"97faa85f80ead961fb399266b438f3c6"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.nvm"
"_0.kdd"	".kdd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"4350"	"0"	"5969cb64353a44d27f3b0f63aefb51c8"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.kdd"
"_1.kdd"	".kdd"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2646"	"0"	"4f6f265bb300ea066912a57247c99e5d"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.kdd"
"_0.kdm"	".kdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"247"	"0"	"5afc63b5a7d19b6c1316a3e1fdfd7749"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.kdm"
"_1.kdm"	".kdm"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"245"	"0"	"cee0db9959f69c6567abc8a8bcde2e61"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.kdm"
"_0.kdi"	".kdi"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"83"	"0"	"a7f0fa2e5983e91e239029a2e7bfbc1f"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.kdi"
"_1.kdi"	".kdi"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"72"	"0"	"1f1af58e4869cfae98e7085a85dc68ab"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.kdi"
"_1.fdx"	".fdx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"457"	"0"	"10bbeb45453e141c5c0acfacf585d1a3"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_1.fdx"
"_0.fdx"	".fdx"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"518"	"0"	"990d0e494412be10db6be3ede0ce383d"	"unknown"	"r---------"	"/LogicalFileSet1//hh/ModuleOutput/keywordsearch/data/solr8_schema2.3/index/_0.fdx"
